Country,Market Name,Level,Parent Market,L1 Market,Count,Dummy,Units,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Hong Kong,Milk,Level 3,Animal Produce,Agriculture,58,Hong KongMilk,USD Billion,0.05468426,0.059554896,0.068671792,0.074708868,0.081567635,0.08585717,0.085317804,0.089739794,0.09919576,0.096950628,0.100153776,0.099099919,0.103949665,0.112317111,0.121599574,0.128961728,0.136234285,0.144062041,0.153305696,0.163719499,0.174767358,0.186381854,0.198320315,0.210570721,0.223121155,0.235959907
India,Milk,Level 3,Animal Produce,Agriculture,58,IndiaMilk,USD Billion,33.73282989,37.46606783,50.19992178,79.54112611,85.93399125,98.36291952,87.21269182,110.9746036,132.0490171,121.6650282,137.8429086,153.7886403,158.5383504,173.2400109,185.4179661,195.7420996,209.7858908,225.975436,244.0352932,263.5733899,284.7010412,305.0494189,325.3429234,345.4573105,365.272769,384.6754104
Indonesia,Milk,Level 3,Animal Produce,Agriculture,58,IndonesiaMilk,USD Billion,0.587740467,0.695701234,0.77715239,0.751406142,0.865568163,0.922344033,0.793571305,0.917493211,1.130916463,1.088427517,1.094144709,1.226233801,1.338605774,1.632559381,1.976517741,2.42057903,2.983216224,3.658882082,4.499085637,5.53825303,6.821135194,8.338667101,10.16495816,12.35781941,14.98514946,18.12660542
Ireland,Milk,Level 3,Animal Produce,Agriculture,58,IrelandMilk,USD Billion,2.138943282,1.822012836,1.883298408,1.731557757,1.651785577,2.032858554,1.94343801,1.894055449,1.833959983,1.818602144,3.721342712,4.638981079,5.596383633,6.284785995,7.465367635,9.176776761,10.44838864,12.07411166,13.98169729,16.19528354,18.76562312,21.79039528,25.25270123,29.21007199,33.72709855,38.87626845
Israel,Milk,Level 3,Animal Produce,Agriculture,58,IsraelMilk,USD Billion,1.233910808,1.289313642,1.462675192,1.456905916,1.524844998,1.765864438,1.860063665,1.85846371,1.976064848,2.091363054,1.998182921,1.974716148,2.155950373,2.319023866,2.490813516,2.665409853,2.860745122,3.04337307,3.247323793,3.458858891,3.682584624,3.928908602,4.180236252,4.436044805,4.695816936,4.959044768
Italy,Milk,Level 3,Animal Produce,Agriculture,58,ItalyMilk,USD Billion,7.609858605,8.191611321,9.541701054,9.329364644,9.924666731,9.857813124,8.228615105,8.509705396,9.594365975,9.55617191,9.625083484,10.04363258,11.77300673,12.74451288,13.30933116,13.85579547,14.43322766,15.0046323,15.64639065,16.32122383,17.02509208,17.813777,18.61164028,19.4181017,20.23262552,21.05472082
Japan,Milk,Level 3,Animal Produce,Agriculture,58,JapanMilk,USD Billion,10.41972609,9.01316667,9.041065266,13.62186001,12.33519228,13.38411239,11.76589028,11.23832034,11.38636138,11.59294901,11.69995626,12.15646546,12.41914861,13.08286984,13.47154187,13.97180056,14.31105441,14.66794125,15.04018503,15.41395541,15.78994558,16.25529045,16.71019721,17.15424785,17.58709567,18.00846127
Malaysia,Milk,Level 3,Animal Produce,Agriculture,58,MalaysiaMilk,USD Billion,0.078044071,0.075138582,0.076979449,0.073023925,0.07736236,0.094339808,0.057844454,0.065666558,0.058907054,0.061420991,0.069168043,0.078097498,0.099213453,0.100072764,0.105255843,0.110151565,0.115677428,0.121475536,0.127998221,0.134966651,0.141997997,0.148228505,0.154351123,0.160349471,0.166208693,0.17191547
Mexico,Milk,Level 3,Animal Produce,Agriculture,58,MexicoMilk,USD Billion,3.979301601,4.070003789,4.529489086,4.588122261,5.382563815,5.994908587,7.867263593,8.518586367,9.312780549,10.06748355,11.74073972,12.27545715,14.07061673,15.53514385,16.8785395,18.27762121,19.78199383,21.29351165,22.96223493,24.75295368,26.68426323,28.8397693,31.08528386,33.41951275,35.84105854,38.34844737
Netherlands,Milk,Level 3,Animal Produce,Agriculture,58,NetherlandsMilk,USD Billion,4.903300811,5.338664477,5.112836476,6.426495415,6.650485687,6.910358645,8.991923772,11.69573127,10.26005842,7.998831745,9.810916852,8.097566794,10.39211618,11.67637387,13.26191973,14.66149684,16.1199368,17.74383299,19.53673273,21.50369436,23.64744298,26.18344005,28.93849784,31.92791056,35.16793855,38.67587592
New Zealand,Milk,Level 3,Animal Produce,Agriculture,58,New ZealandMilk,USD Billion,7.797399619,7.846577078,9.15418344,9.01139392,9.538885588,12.6115568,13.23743651,13.90457623,15.78257442,16.69742348,16.88509133,17.77295425,20.43159184,21.88375716,22.60831585,23.57506763,24.66517066,25.71174675,26.84210595,27.9972129,29.18224137,30.4558726,31.71857538,32.96782093,34.20128757,35.41686201
Nigeria,Milk,Level 3,Animal Produce,Agriculture,58,NigeriaMilk,USD Billion,0.090897079,0.113707059,0.113047047,0.109797647,0.10967864,0.114322148,0.143714746,0.168401601,0.157214164,0.145822346,0.068919674,0.069502078,0.077440486,0.090236741,0.108953835,0.128794578,0.152132975,0.178725942,0.209175792,0.243507302,0.283395583,0.317893188,0.35336087,0.389555084,0.426251224,0.46324754
Norway,Milk,Level 3,Animal Produce,Agriculture,58,NorwayMilk,USD Billion,0.823391221,0.923091667,1.230372385,1.801074711,1.834470896,1.828395506,1.556498977,1.558441113,1.682767467,1.795693023,1.77963964,2.080542313,2.0519892,2.054796176,2.158752392,2.316409294,2.487281888,2.698486607,2.921017013,3.161573419,3.42539934,3.573662611,3.729388156,3.892945303,4.064721761,4.245124543
Peru,Milk,Level 3,Animal Produce,Agriculture,58,PeruMilk,USD Billion,0.93289491,1.124475181,1.196880874,1.261112644,1.233417343,1.405788123,1.446279221,1.370923983,1.413988549,1.415220598,1.733421967,1.714287198,2.167991219,2.316613972,2.517729371,2.642192279,2.797328699,2.933798347,3.066834679,3.20380573,3.348802372,3.52700909,3.705225411,3.882992075,4.059874552,4.235464929
Philippines,Milk,Level 3,Animal Produce,Agriculture,58,PhilippinesMilk,USD Billion,0.06452668,0.061983348,0.042588927,0.06143647,0.092308671,0.091124931,0.082040359,0.093951837,0.113490374,0.128639969,0.11454364,0.163785101,0.241411944,0.286117495,0.334517439,0.384839657,0.446571705,0.520299122,0.60776272,0.711430399,0.832428747,0.968600679,1.123069928,1.297791407,1.494884598,1.716645892
Poland,Milk,Level 3,Animal Produce,Agriculture,58,PolandMilk,USD Billion,4.74,4.98,6.05,7.29,6.56,5.1,4.73,6.04,6.43,6.23,6.48,6.9,9.69,10.7,11.68,12.32,12.33,12.66,13,13.31,13.62,14.16,14.68,15.16,15.6,16.02
Portugal,Milk,Level 3,Animal Produce,Agriculture,58,PortugalMilk,USD Billion,0.78,0.62,0.72,0.58,0.64,0.85,0.87,0.94,1.01,0.99,0.97,0.96,1.09,1.2,1.27,1.33,1.39,1.44,1.49,1.55,1.61,1.69,1.77,1.84,1.92,2
Romania,Milk,Level 3,Animal Produce,Agriculture,58,RomaniaMilk,USD Billion,2.576876871,2.518948092,2.622701214,2.578695781,2.665958722,3.097807535,2.407772949,2.711370999,2.774879892,2.847425659,2.922321457,2.514671487,3.117545646,3.543589453,3.813205472,3.971490057,3.9843071,4.011450509,4.071291567,4.218067192,4.375198109,4.553512258,4.726491823,4.893614458,5.054420728,5.208513841
Russia,Milk,Level 3,Animal Produce,Agriculture,58,RussiaMilk,USD Billion,7.808434328,9.287913515,9.228308973,9.32135708,11.49353493,15.114681,13.25044918,9.749288056,10.00281313,11.58913682,11.80330086,13.07263188,23.59153587,25.73583118,28.49075747,29.18162133,30.70981267,31.23020449,31.76843191,32.33203356,32.93776689,34.22252596,35.43387258,36.56659349,37.61640677,38.57994933
Saudi Arabia,Milk,Level 3,Animal Produce,Agriculture,58,Saudi ArabiaMilk,USD Billion,1.52573278,1.67007993,1.767944368,2.347055859,2.466849325,2.506090165,2.489373948,2.342366366,2.364334341,2.750804462,2.515888113,2.52624863,2.077130121,2.292286034,2.607554224,2.978592627,3.445442829,4.019698104,4.70562467,5.510052913,6.4408343,7.411419737,8.516936039,9.774987443,11.20538262,12.83040507
Singapore,Milk,Level 3,Animal Produce,Agriculture,58,SingaporeMilk,USD Billion,0.07,0.08,0.09,0.11,0.1,0.11,0.11,0.12,0.12,0.13,0.14,0.15,0.15,0.17,0.2,0.23,0.26,0.3,0.35,0.41,0.48,0.55,0.63,0.73,0.83,0.96
South Africa,Milk,Level 3,Animal Produce,Agriculture,58,South AfricaMilk,USD Billion,0.699115639,0.687086114,0.802882938,0.955292076,1.096547969,1.36515128,1.533008764,1.390852381,1.514433806,1.679324016,2.086701399,2.165263892,2.316979137,2.447776443,2.559185194,2.677781696,2.806037637,2.93779852,3.084247493,3.236854468,3.397009894,3.557063701,3.71641884,3.87473456,4.031693849,4.18700408
South Korea,Milk,Level 3,Animal Produce,Agriculture,58,South KoreaMilk,USD Billion,3.1,2.7,3.05,2.93,2.97,3.12,3.04,2.94,2.82,2.99,3.03,2.9,3.18,3.24,3.39,3.39,3.39,3.46,3.55,3.63,3.71,3.78,3.85,3.91,3.96,4.01
Spain,Milk,Level 3,Animal Produce,Agriculture,58,SpainMilk,USD Billion,4.285309691,4.603071433,4.494830581,5.939627907,6.445049661,6.121755086,6.593668525,8.400348535,7.255755091,6.926617777,6.761872509,7.346719102,9.579340086,10.90747046,12.15663083,13.35163846,14.59133781,15.95922924,17.37986369,18.92857579,20.61387313,22.64885547,24.82961195,27.16294047,29.6558826,32.315744
Sweden,Milk,Level 3,Animal Produce,Agriculture,58,SwedenMilk,USD Billion,1.402339001,1.390566562,1.205497794,1.51954836,1.620685656,1.594591999,2.16561425,2.958773425,3.347804986,2.415394237,2.965028721,2.979544044,2.248049226,2.467547422,2.859533568,3.330083096,3.840570278,4.44386378,5.14755333,5.956641084,6.891731972,7.923126572,9.095721493,10.42751643,11.93870216,13.65192143
Switzerland,Milk,Level 3,Animal Produce,Agriculture,58,SwitzerlandMilk,USD Billion,4.06,3.85,4.15,3.61,4.01,3.84,3.73,3.82,3.55,3.46,3.65,3.71,4.48,4.64,4.77,4.78,4.86,4.95,5.08,5.18,5.31,5.42,5.52,5.62,5.7,5.78
Thailand,Milk,Level 3,Animal Produce,Agriculture,58,ThailandMilk,USD Billion,1.21191068,1.409726272,1.462732631,1.583126164,1.504995793,1.62447194,1.766307842,1.781796278,1.922421009,1.639147064,1.566955552,1.561518306,1.465223236,1.528742455,1.597756605,1.645957148,1.697250307,1.768856371,1.855016522,1.949961829,2.051674421,2.137959943,2.224465443,2.311101653,2.397786438,2.484444733
Turkey,Milk,Level 3,Animal Produce,Agriculture,58,TurkeyMilk,USD Billion,0.090954185,0.112495128,0.149723294,0.160784456,0.230468375,0.315818748,0.470183795,0.755149568,1.167851326,1.690758292,2.192860094,3.844721432,7.79593624,13.6221342,22.14202007,30.4048552,38.43247515,46.40255584,55.76141496,65.46052389,76.17415707,84.77247173,93.21186462,101.3737027,109.156173,116.4758812
UK,Milk,Level 3,Animal Produce,Agriculture,58,UKMilk,USD Billion,4.983261522,5.093218861,5.231928728,5.825342607,6.383126929,7.177417923,6.75726447,6.216592614,5.528540181,5.513355463,5.366298056,5.998673902,8.36831205,8.823527644,9.565313374,9.975955801,10.32969512,10.91131297,11.53739818,12.21907194,12.94407045,13.64002345,14.33906207,15.03963661,15.74027233,16.43957569
United Arab Emirates,Milk,Level 3,Animal Produce,Agriculture,58,United Arab EmiratesMilk,USD Billion,0.166069232,0.19896561,0.183063119,0.194888458,0.251542999,0.271400379,0.370798689,0.508278205,0.328701816,0.225146484,0.200338093,0.185509222,0.235282266,0.246891836,0.267689954,0.282351869,0.305152374,0.332016526,0.362253938,0.394741242,0.428709831,0.461475345,0.495613939,0.531123939,0.568003263,0.606249681
USA,Milk,Level 3,Animal Produce,Agriculture,58,USAMilk,USD Billion,62.55265734,63.03429925,71.77338595,66.20287385,79.27003382,80.64350822,82.5367072,86.3052343,81.62043625,88.53129899,94.5915306,95.41138815,101.3586379,107.1622735,111.799931,115.5232368,118.7236637,121.8100306,125.1393684,128.4521643,131.8489832,136.0388226,140.0764592,143.954809,147.6680307,151.2114707
Vietnam,Milk,Level 3,Animal Produce,Agriculture,58,VietnamMilk,USD Billion,0.224200864,0.35297559,0.510326721,0.637670455,0.756820982,0.762020772,0.828600564,1.092719095,1.172388945,1.182598896,1.290364855,1.406526159,0.998139988,1.148381383,1.374030067,1.625938942,1.895197891,2.223428832,2.592697382,3.005600638,3.48374361,4.058584115,4.711024313,5.449323016,6.28241972,7.219983726
Iran,Milk,Level 3,Animal Produce,Agriculture,58,IranMilk,USD Billion,0.073146035,0.084600075,0.158594228,0.24865334,0.274932338,0.201779058,0.239326619,0.331664377,0.347499393,0.457374303,0.511546296,0.56826805,0.827389434,1.201961033,1.602751226,2.297052469,3.274406618,4.45578307,5.863503459,7.50638809,9.563400367,10.46498605,11.35948884,12.2404949,13.10259047,13.94135882
Ukraine,Milk,Level 3,Animal Produce,Agriculture,58,UkraineMilk,USD Billion,1.540659724,1.618567961,1.675407064,1.546583158,2.075607082,2.818878526,3.126731665,4.080560918,3.636973441,3.284086091,3.437032801,3.453791907,3.034828273,3.826432802,4.405202068,5.078969249,5.814139798,6.431182546,7.015764506,7.646018728,8.325243416,9.388302539,10.52516874,11.73373818,13.0112217,14.35419377
Bangladesh,Milk,Level 3,Animal Produce,Agriculture,58,BangladeshMilk,USD Billion,0.636169051,0.797307957,1.016954614,1.47287401,1.683758636,1.884583316,1.938562612,2.447086061,2.736693817,5.197068091,5.830225491,5.050420089,8.489820839,9.407491483,10.26689509,11.498831,12.81570691,13.99606293,15.2478539,16.80062443,18.51308014,20.29892815,22.13618765,24.01453,25.92321649,27.85127436
Argentina,Honey,Level 3,Animal Produce,Agriculture,58,ArgentinaHoney,USD Billion,8.52E-07,7.67E-06,1.07E-05,2.05E-06,1.34E-05,1.85E-05,0.000101597,3.75E-05,0.00018146,0.00068695,0.000554079,0.0004627,0.000714922,0.000971063,0.002009647,0.002814168,0.003205919,0.003405935,0.003579403,0.003753427,0.003919455,0.004191232,0.00442546,0.004619188,0.004796225,0.004955217
Australia,Honey,Level 3,Animal Produce,Agriculture,58,AustraliaHoney,USD Billion,0.064249508,0.04358751,0.04755726,0.048838942,0.056219737,0.081344496,0.076541735,0.080901205,0.0823017,0.090238034,0.097816477,0.072061219,0.071432723,0.074520886,0.076429364,0.079121725,0.082237409,0.084854008,0.087565358,0.090366576,0.093333631,0.096306852,0.09916211,0.101893985,0.104498046,0.106970804
Austria,Honey,Level 3,Animal Produce,Agriculture,58,AustriaHoney,USD Billion,0.041216129,0.036883419,0.037406789,0.0410946,0.034888751,0.038458232,0.03901863,0.041611442,0.038237378,0.036530106,0.037656567,0.042883752,0.050758228,0.053569689,0.05476614,0.056559983,0.058222491,0.060279795,0.062300201,0.064261515,0.066085124,0.068233953,0.070338104,0.072395014,0.074402485,0.076358672
Belgium,Honey,Level 3,Animal Produce,Agriculture,58,BelgiumHoney,USD Billion,0.040582762,0.04642791,0.050259859,0.048650234,0.06483255,0.087345977,0.068121614,0.076289369,0.063803534,0.057711978,0.066051401,0.072792867,0.102184926,0.111113255,0.117731498,0.124919659,0.131753161,0.139017055,0.147257083,0.155886632,0.165380688,0.175518487,0.185999177,0.196825424,0.208000209,0.219526863
Brazil,Honey,Level 3,Animal Produce,Agriculture,58,BrazilHoney,USD Billion,0.017338509,0.017631106,0.018107877,0.023764233,0.020722693,0.032971129,0.035290309,0.035984122,0.028934524,0.024435625,0.013081276,0.027384996,0.030161997,0.033706027,0.037246652,0.041329692,0.045372587,0.049436285,0.053897918,0.058832429,0.064252691,0.070429361,0.076973317,0.083890154,0.091185071,0.098862933
Canada,Honey,Level 3,Animal Produce,Agriculture,58,CanadaHoney,USD Billion,0.074558102,0.09208455,0.081246148,0.096003579,0.133023626,0.144721309,0.097041374,0.096926631,0.097510297,0.118160152,0.131230536,0.17136932,0.157986706,0.167213661,0.180014915,0.191555153,0.204674118,0.219100404,0.23378871,0.249540365,0.267600358,0.28539825,0.303849404,0.322956916,0.342724256,0.363155343
Chile,Honey,Level 3,Animal Produce,Agriculture,58,ChileHoney,USD Billion,0.002396984,0.002186529,0.004159778,0.004804869,0.005779768,0.007533849,0.00910212,0.014466432,0.014512385,0.016762265,0.026105793,0.028855727,0.029082137,0.032420918,0.037251737,0.041453521,0.04577016,0.050286449,0.055032913,0.060223147,0.065850305,0.072733101,0.080112913,0.088008808,0.096440063,0.105426216
China,Honey,Level 3,Animal Produce,Agriculture,58,ChinaHoney,USD Billion,0.595005899,0.696189364,0.677642367,0.638878824,0.670391305,0.687743878,0.970903972,0.896617088,0.717834226,0.711161692,0.718088252,0.664474746,0.623110521,0.634786316,0.64230434,0.645093711,0.654442177,0.670766748,0.690083438,0.70823749,0.724670687,0.737068235,0.747919537,0.757235576,0.765037331,0.771354702
Colombia,Honey,Level 3,Animal Produce,Agriculture,58,ColombiaHoney,USD Billion,0.003012314,0.003755611,0.003046786,0.003504268,0.004058971,0.004763948,0.005494348,0.011117511,0.011432315,0.005239194,0.007142913,0.008247214,0.009941157,0.010462875,0.011009647,0.011554371,0.011939273,0.012298501,0.012706171,0.013148294,0.013592258,0.014095274,0.014573442,0.015025142,0.015449029,0.015844033
Czech Republic,Honey,Level 3,Animal Produce,Agriculture,58,Czech RepublicHoney,USD Billion,0.029068075,0.028203045,0.031747062,0.032856759,0.03498789,0.052427467,0.046205371,0.040188359,0.043567405,0.038395375,0.037109112,0.065880407,0.058973056,0.070182591,0.075897227,0.08602471,0.097049037,0.108395658,0.121103221,0.135072459,0.150686455,0.169120481,0.189418796,0.211737562,0.236244555,0.263120053
Denmark,Honey,Level 3,Animal Produce,Agriculture,58,DenmarkHoney,USD Billion,0.012446733,0.014743183,0.012866524,0.013162321,0.014061895,0.020767962,0.019598588,0.020351143,0.0180008,0.015933315,0.014926673,0.022883348,0.016513084,0.016636826,0.017813226,0.018831923,0.020207114,0.021536546,0.022913713,0.024338998,0.025854922,0.02731726,0.028814985,0.030347424,0.031913954,0.033514003
Egypt,Honey,Level 3,Animal Produce,Agriculture,58,EgyptHoney,USD Billion,0.001174292,0.00112885,0.0009884,0.001585659,0.001378897,0.001431319,0.001175449,0.002567232,0.003743745,0.001712582,0.001210203,0.001852209,0.001901408,0.002333508,0.003036573,0.003583917,0.003999248,0.004336712,0.004560964,0.004749168,0.004941635,0.005281911,0.0055735,0.005812697,0.005997874,0.006189229
Finland,Honey,Level 3,Animal Produce,Agriculture,58,FinlandHoney,USD Billion,0.022907765,0.022639454,0.025333887,0.025740987,0.027248123,0.033551303,0.034719505,0.036021256,0.034478341,0.033359139,0.033304202,0.037987992,0.043357462,0.049547623,0.055927967,0.062981021,0.072318383,0.083255933,0.095715231,0.110230992,0.127127478,0.145298917,0.165880856,0.18917575,0.215522754,0.245302098
France,Honey,Level 3,Animal Produce,Agriculture,58,FranceHoney,USD Billion,0.138352294,0.133799716,0.129524221,0.12936908,0.122092893,0.190813119,0.163910968,0.1889539,0.217778121,0.185254524,0.254683186,0.173584636,0.24702476,0.274905933,0.296521431,0.315570131,0.337662203,0.363646772,0.392309068,0.423128921,0.45613357,0.491877797,0.52963456,0.569483392,0.611507329,0.655793143
Germany,Honey,Level 3,Animal Produce,Agriculture,58,GermanyHoney,USD Billion,0.234987988,0.209570167,0.235953286,0.254163416,0.256975968,0.322136816,0.270841805,0.299487269,0.279256221,0.241274541,0.257609901,0.283338954,0.308969406,0.328913705,0.339737859,0.350010145,0.36172251,0.376040595,0.391345639,0.406452329,0.421124683,0.437358153,0.453521881,0.4695982,0.485571131,0.501426342
Hong Kong,Honey,Level 3,Animal Produce,Agriculture,58,Hong KongHoney,USD Billion,0.01589554,0.018154608,0.025933619,0.033750155,0.038549676,0.045734646,0.039933015,0.044450824,0.032313105,0.021040066,0.016405712,0.016262665,0.018720119,0.021033162,0.023677223,0.026165895,0.028807529,0.031746533,0.035150664,0.03905212,0.043369115,0.04811894,0.053273336,0.058858237,0.064900978,0.071430382
India,Honey,Level 3,Animal Produce,Agriculture,58,IndiaHoney,USD Billion,0.050510417,0.046002022,0.05567264,0.055062963,0.071592562,0.078060792,0.077560627,0.077332594,0.090391051,0.096363991,0.105966847,0.119156882,0.129656002,0.142111153,0.152574201,0.161654023,0.173871337,0.187955312,0.203602608,0.220581664,0.238997816,0.256875645,0.274819906,0.292725994,0.310491712,0.328018582
Indonesia,Honey,Level 3,Animal Produce,Agriculture,58,IndonesiaHoney,USD Billion,0.004141941,0.004132517,0.005099371,0.005271396,0.00634975,0.005993194,0.006160198,0.006405139,0.006857181,0.007046745,0.007511058,0.007621415,0.008179921,0.008541709,0.008843389,0.009279372,0.009808955,0.010310399,0.010869902,0.011474322,0.012120007,0.012690943,0.013244861,0.013779416,0.014292514,0.014782317
Ireland,Honey,Level 3,Animal Produce,Agriculture,58,IrelandHoney,USD Billion,0.012720663,0.012275217,0.013450376,0.016172959,0.013959258,0.015360275,0.01559009,0.01542285,0.016209744,0.017603115,0.02095811,0.021756075,0.022584423,0.024877061,0.02901544,0.035043459,0.039146141,0.044395687,0.050455494,0.057359115,0.065229635,0.074341728,0.084556062,0.095989433,0.108769947,0.12303809
Israel,Honey,Level 3,Animal Produce,Agriculture,58,IsraelHoney,USD Billion,0.037825153,0.035825817,0.038797558,0.031429734,0.032069906,0.035026346,0.034797232,0.037143924,0.036373562,0.035301389,0.035719827,0.039849184,0.044102668,0.045600645,0.047078349,0.048439996,0.049995509,0.051128716,0.052424399,0.053654708,0.05488924,0.056273315,0.057527968,0.058651009,0.059641407,0.060499212
